citric acid,free sulfur dioxide,density,pH,alcohol,quality
0.16,3,0.9962,3.42,10.5,7
0.15,6,0.9955,3.42,9.4,5
0.56,30,0.9968,3.24,9.4,5
0.09,17,0.9937,3.63,13,5
0.09,17,0.9937,3.63,13,5
0.01,17,0.9952,3.4,9.8,6
0.05,13,0.9959,3.22,9.9,6
0.11,16,0.9965,3.19,9.6,5
0.15,10,0.9968,3.23,9.5,5
0.36,13,0.9972,3.48,9.2,5
0.19,15,0.9962,3.33,9.5,5
0.19,17,0.9962,3.32,9.5,5
0.11,16,0.9965,3.19,9.6,5
0.15,10,0.9968,3.23,9.5,5
0,27,0.9916,3.68,14,6
0.08,3,0.9954,3.34,9.4,5
0,27,0.9916,3.68,14,6
0.55,32,0.9968,3.17,9.4,5
0.02,21,0.9944,3.54,10,5
0.26,10,0.9968,3.11,9.3,5
0.1,12,0.9959,3.42,10.2,6
0.44,11,0.9975,3.53,10.5,6
0.47,5,0.9958,3.33,10.3,6
1,32,0.9996,2.74,9.4,4
0.03,25,0.995,3.35,10.1,5
0.03,25,0.995,3.35,10.1,5
0.42,29,0.9973,3.42,10.5,5
0.42,28,0.9973,3.42,10.5,5
0.42,29,0.9973,3.42,10.5,5
0.42,28,0.9973,3.42,10.5,5
0,12,0.9969,3.48,9.3,5
0.18,18,0.9968,3.59,9.3,6
0.03,7,0.9959,3.2,9.6,5
0.02,9,0.9965,3.17,9.2,4
0.04,17,0.9964,3.33,10,6
0.26,36,0.9982,3.37,9.4,5
0.26,35,0.9981,3.37,9.4,5
0.48,14,0.9961,3.19,9.5,5
0.1,18,0.9956,3.34,10.2,5
0.03,17,0.9956,3.37,9,4
0.07,11,0.9953,3.47,10.4,6
0.24,15,0.9964,3,9.5,5
0.03,4,0.9972,3.36,9.1,4
0.17,6,0.9972,3.29,9.2,6
0.17,6,0.9972,3.29,9.2,6
0.05,24,0.9961,3.42,11.5,6
0.21,7,0.9961,3.33,9.5,5
0.04,19,0.9958,3.35,9.5,5
0.21,7,0.9961,3.33,9.5,5
0.42,8,0.9972,3.58,10.5,6
0,7,0.9969,3.48,9.6,5
0.14,10,0.9969,3.19,9.5,5
0.14,10,0.9969,3.19,9.5,5
0.49,23,0.9972,3.12,9.3,5
0.02,16,0.9972,3.44,9.3,5
0.2,11,0.9971,3.54,9.3,5
0.21,8,0.997,3.52,9.3,6
0.57,26,0.9971,3.26,9.7,5
0.48,14,0.9972,3.34,9.2,5
0.1,9,0.9976,3.39,9.7,5
0.33,15,0.9968,3.2,9.5,5
0.32,17,0.9968,3.2,9.5,5
0.35,21,0.9976,3.23,9.4,5
0.25,21,0.9974,3.57,9.8,6
0.12,16,0.9969,3.28,9.5,5
0.21,7,0.9964,3.28,9.7,5
0.21,7,0.9964,3.28,9.7,5
0.33,24,0.9968,3.25,9.4,5
0.3,15,0.9968,3.46,10.2,5
0.6,12,0.9981,3.11,10.1,6
0.08,13,0.9924,3.57,13,7
0.06,12,0.9948,3.51,11.4,4
0.47,9,0.99695,3.22,10.3,7
0.48,39,0.9975,3.04,9.3,5
0.11,16,0.99545,3.36,9.5,5
0.35,16,0.9961,3.34,9.2,5
0.36,14,0.99615,3.34,9.2,6
0.74,9,0.9994,3.2,10.8,7
0.74,9,0.9994,3.2,10.8,7
0.31,26,0.99625,3.29,9.3,5
0.28,18,0.9966,3.22,9.4,5
0.58,7,0.998,3.31,10.5,7
0.6,5,0.99585,3.3,12.4,6
0.24,10,0.99685,3.35,10,6
0.64,5,0.998,3.21,10.2,6
0.26,28,0.9959,3.3,10.1,5
0.08,10,0.9974,3.24,9.8,6
0.49,26,0.9974,3.34,10.5,5
0.16,13,0.9962,3.14,11,5
0.22,11,0.9967,3.36,9.1,5
0.19,10,0.9957,3.39,9.7,5
0.33,24,0.99655,3.3,9.5,5
0.37,24,0.9964,3.34,9.4,6
0.26,16,0.9957,3.15,9.4,5
0.04,5,0.99525,3.42,9.5,5
0.25,8,0.99815,3.28,10,6
0.36,15,0.99745,3.31,10.4,4
0.25,29,0.99615,3.37,10.5,6
0.5,27,0.9964,3.04,9.5,6
0.14,9,0.9984,3.39,9.8,5
0.25,29,0.99615,3.37,10.5,6
0.25,10,0.99685,3.46,11,5
0.04,19,0.9927,3.54,12.2,7
0.06,12,0.99625,3.37,9.9,6
0.2,18,0.998,3.34,9.6,6
0.25,10,0.99685,3.46,11,5
0.09,7,0.99685,3.32,9,6
0,14,0.99675,3.37,9,6
0,14,0.99675,3.37,9,6
0,15,0.99675,3.37,9.2,6
0,14,0.99675,3.37,9,6
0.09,7,0.99685,3.32,9,6
0.37,5,0.9971,3,9.3,5
0.56,6,0.99925,3.14,10.9,6
0.1,28,0.99565,3.08,9.8,6
0.44,10,1.00005,3.07,9.2,7
0.44,10,1.00005,3.07,9.2,7
0,6,0.9983,3.61,9.9,6
0.07,16,0.99685,3.38,9.5,5
0.17,11,0.9963,3.2,9.3,5
0.06,9,0.99615,3.35,9.8,6
0,6,0.9983,3.61,9.9,6
0.44,16,0.9985,3.22,10,6
0,16,0.9972,3.47,9.9,6
0.48,5,0.9986,3.17,10.5,5
0.42,8,0.9959,3.23,9.5,5
0,16,0.9972,3.47,9.9,6
0.23,17,0.99675,3.26,9.3,5
0.37,5,0.998,3.22,9.2,5
0,12,0.9968,3.49,9.2,5
0.76,8,0.9968,3.06,9.4,5
0.47,14,0.99965,3.36,10.5,7
0.23,18,0.99625,3.29,9.3,5
0.04,12,0.99565,3.35,9.4,4
0.03,10,0.99575,3.34,10,5
0.23,23,0.9963,3.28,9.3,5
0.49,5,0.9999,3.08,10.9,5
0.52,6,0.9968,3.2,10.2,7
0,26,1.00025,3.6,9.8,4
0.46,15,0.9973,3.35,12.8,8
0.04,7,0.9987,3.69,9.4,6
0.51,4,0.9996,3.28,10.1,6
0.06,27,0.9965,3.36,10.7,6
0.51,4,0.9996,3.28,10.1,6
0.58,17,0.99935,3.22,10.1,5
0.2,10,0.99735,3.31,9.4,5
0.18,27,0.99915,3.38,9.4,5
0.06,27,0.9965,3.36,10.7,6
0.04,7,0.9987,3.69,9.4,6
0.51,4,0.9996,3.28,10.1,6
0.45,5,0.9976,3.23,12.6,8
0.32,10,0.9991,3.38,10.5,7
0.44,6,0.9986,3.12,9.3,6
0.68,5,0.9972,3.25,9.9,7
0.12,12,0.9971,3.36,9.1,5
0.32,10,0.9991,3.38,10.5,7
0.07,32,1.00015,3.31,9.8,5
0.07,32,1.00015,3.31,9.8,5
0.55,25,0.9997,3.1,10.3,6
0.12,29,0.9967,3.37,10.3,6
0.09,20,0.9976,3.34,10.6,7
0.53,33,1.001,3.2,9.2,5
0.09,20,0.9976,3.34,10.6,7
0.48,6,0.9979,3.3,10.5,5
0.23,18,0.9994,3.22,10.3,6
0.25,5,0.9964,3.41,10.1,6
0.52,17,1.0014,3.05,9.5,6
0.46,5,1.0001,3.05,9.5,5
0.37,26,0.9981,3.16,9.9,5
0.06,8,0.99855,3.67,9.6,5
0.02,5,0.9993,3.67,9.7,5
0.06,8,0.99845,3.68,9.6,5
0.06,20,0.9965,3.38,10.7,6
0.48,7,0.9973,3.22,10.1,6
0.12,12,0.9994,3.51,10,5
0.12,5,0.996,3.39,9.5,5
0.6,12,0.9973,3.2,9.2,5
0.48,6,0.9998,3.12,9.3,6
0.32,7,0.9966,3.36,9.4,5
0.42,6,0.9994,3.19,9.5,6
0.44,5,0.9994,3.19,9.5,6
0.38,9,0.9968,3.41,9.5,6
0.48,6,0.9998,3.12,9.3,6
0.24,15,0.996,3.27,9.4,6
0.31,19,0.99815,3.32,9.5,6
0.3,30,0.9976,3.3,9.4,5
0.29,26,0.99645,3.39,11,5
0.29,20,0.9962,3.42,11,6
0.23,37,0.9996,3.3,10.1,5
0.12,30,0.99865,3.3,10.4,6
0.39,21,0.9989,3.37,11.5,7
0.12,30,0.99865,3.3,10.4,6
0.39,21,0.9989,3.37,11.5,7
0.26,25,0.99975,3.24,9.7,5
0.05,6,0.99735,3.29,9.3,5
0.42,35,0.999,3.28,9.5,6
0.2,13,1.0015,3.16,9.2,6
0.2,13,1.0015,3.16,9.2,6
0.66,6,0.9978,3.05,11.5,7
0.5,5,0.998,3.28,11.5,5
0.62,6,1.0002,3.16,9.7,6
0.39,7,0.9981,3.18,9.5,5
0.64,10,0.998,3.23,12.5,6
0.64,10,0.998,3.23,12.5,6
0.28,21,0.9973,3.22,9.4,6
0.08,16,0.9958,3.13,11,5
0.01,17,0.9963,3.34,11.7,7
0.53,7,0.9992,3.17,12.2,7
0.45,6,0.9948,3.35,12.5,6
0.32,29,0.9974,3.31,10.3,5
0.58,28,1.0008,3.16,11.5,6
0.54,12,0.9997,3.11,9.8,7
0.5,10,1,3.12,9.2,6
0.48,5,0.9972,3.21,11.3,6
0.47,6,0.9982,3.3,9.8,6
0.47,6,0.9982,3.3,9.8,6
0.5,6,1.0006,3.12,10.7,6
0,40,0.9979,3.6,9.9,5
0.02,17,0.9955,3.58,12.3,7
0.67,6,0.9986,3.02,12,6
0.31,15,0.9979,3.11,10,6
0,11,0.9994,3.36,9.4,6
0.22,17,1.0004,3.28,9.9,6
0,11,0.9994,3.35,9.4,6
0,8,0.9974,3.27,9.3,5
0.79,23,1.0018,3.18,13,5
0.4,40.5,0.9912,3.25,11.9,6
0.01,17,0.9955,3.55,12.8,6
0.52,29,1.0001,3.26,11,5
0.66,12,0.997,3.24,11.7,7
0.66,10,1,3.15,10.4,7
0.66,10,1.001,3.17,9.8,6
0.23,14,0.9973,3.19,9.4,5
0.31,21,0.9982,3.37,9.9,6
0.66,6,0.9992,3.05,10,5
0.63,6,0.9988,2.99,10.2,5
0.66,7,1.0022,3.07,10,7
0.5,7,0.9979,3.26,11.8,6
0.66,7,1.0022,3.07,10,7
0.61,11,1,3.16,9,5
0.52,15,0.9998,3.18,9.4,5
0.53,6,0.9962,3.2,12,7
0.02,35,0.9975,3.57,9.9,5
0.4,11,0.9967,3.32,8.7,6
0.48,26,0.9967,3.32,10.6,6
0.22,12,0.9959,3.05,9.2,5
0.63,6,1.0014,3.01,10.8,6
0.71,6,0.9984,3.01,11.8,7
0.5,19,1.0003,3.26,11,6
0.53,6,0.9962,3.2,12,7
0.66,6,0.9988,3.11,13.3,6
0.38,24,0.9979,3.31,10.8,6
0.42,11,0.9974,3.21,9.4,6
0.68,17,1.0014,3.06,10,6
0.42,11,0.9974,3.21,9.4,6
0.42,11,0.9974,3.21,9.4,6
0.28,23,0.998,3.42,9.2,5
0.07,11,0.9979,3.43,9.7,6
0.26,23,0.9981,3.41,9.2,6
0.15,17,0.9972,3.31,9.6,6
0.26,23,0.9981,3.43,9.2,6
0.31,16,0.9982,3.19,10,7
0.05,12,0.9924,3.56,12.9,8
0.68,17,1.0014,3.06,10,6
0.52,6,0.998,3.18,9.5,5
0.61,13,0.997,3.16,9.1,5
0.65,6,0.9997,3.03,9.9,5
0.76,7,1.0004,3.22,13,7
0.02,68,0.9994,3.47,9.9,5
0.59,13,0.9988,3.18,11,6
0.59,13,0.9988,3.18,11,6
0.22,9,0.9963,3.1,9.4,5
0.02,68,0.9994,3.47,9.9,5
0.3,20,0.9949,3.29,10.8,6
0.54,19,1,3.1,10.5,6
0.49,10,0.9994,3.15,10.5,6
0.05,15,0.9974,3.26,9.1,5
0.46,11,0.9966,3.36,10.1,6
0.47,9,0.9981,3.24,10.8,6
0.66,12,0.9996,3.18,10.8,7
0.58,6,0.997,3.19,11.3,6
0.49,26,0.9981,3.05,9.6,4
0.34,26,0.9987,3.38,9.5,6
0.35,23,0.9987,3.38,9.5,5
0.16,15,0.9966,3.27,9.3,5
0.53,6,0.9986,3.27,11.7,7
0.34,24,0.9982,3.26,9.5,5
0.24,31,1.0014,3.32,9.3,5
0.64,6,0.997,3.26,11.7,6
0.12,34,0.9956,3.44,10.5,5
0.51,7,0.9996,3.24,10.4,6
0,34,0.9976,3.62,9.9,5
0.33,35,0.9972,3.28,11.8,7
0.03,32,0.9952,3.52,12.3,7
0.2,15,0.9955,3.36,10.9,5
0.47,6,0.9978,3.15,11,7
0.2,15,0.9955,3.36,10.9,5
0.03,32,0.9952,3.52,12.3,7
0.08,19,0.9949,3.49,11.4,6
0.22,6,0.9988,3.26,10.6,6
0.33,9,0.9978,3.24,9.3,5
0.63,13,0.9997,3.1,10.4,6
0.47,6,0.9978,3.15,11,7
0.35,21,0.9974,3.25,9.2,5
0.69,12,0.9958,3,12.8,6
0.63,6,1.0004,3.16,9.5,5
0.55,22,0.9996,3.15,9.9,6
0.63,6,1.0004,3.16,9.5,5
0.3,38,0.9958,3.26,10.2,6
0.73,6,0.9986,3.17,11.2,6
0.55,22,0.9996,3.15,9.9,6
0.18,7,0.9951,3.08,9.3,5
0.72,6,0.9987,2.88,9.8,8
0.65,7,0.9988,3.06,11.3,6
0.76,6,1.0032,2.95,11.2,7
0.49,11,0.9963,3.23,11.6,7
0.01,5,0.9934,3.57,12.5,7
0.1,6,0.9986,3.23,10.1,6
0.6,31,0.9996,3.1,10.5,5
0.29,6,0.9968,3.22,11.2,5
0.22,7,0.9967,3.2,10.2,6
0.69,17,0.9994,3.1,10.8,6
0.69,17,0.9994,3.1,10.8,6
0.53,9,0.9979,3.06,9.1,6
0.03,18,0.9968,3.44,10,6
0.63,5,0.9998,3.26,11.2,7
0.4,21,0.9952,3.5,11.1,5
0.67,6,0.9988,3.22,13.4,8
0.39,5,0.9986,3.37,10.3,5
0.21,29,0.9988,3.28,9.6,5
0.63,5,0.9998,3.26,11.2,7
0.66,10,1.0008,3.25,9,3
0.52,14,0.9976,3.35,11.3,6
0.22,6,0.9982,3.26,9.3,5
0.68,10,0.997,3.18,11.8,5
0.7,25,0.9972,3.08,9,5
0.54,5,0.9987,2.98,9.2,6
0.4,10,1.0006,3.48,9.7,5
0.42,21,0.9982,3.16,11.5,6
0.45,7,0.9947,3.32,14,6
0.69,6,1,3.17,9.2,6
0.02,36,0.9952,3.2,9.8,5
0.65,15,0.9996,3.05,10.6,5
0.42,25,0.997,3.2,11.4,6
0.55,25,0.9995,3.15,10.4,6
0.55,5,0.9971,3.26,10.6,5
0.51,10,0.9982,3.2,9.4,6
0.24,5,0.9988,3.14,10.2,5
0.41,6,0.998,3.28,9.7,5
0.49,6,0.9977,3.18,11,6
0.24,5,0.9988,3.14,10.2,5
0.11,6,0.9984,3.19,10.1,6
0.39,6,1.0026,3.12,9.2,5
0.56,6,0.9964,3.15,11.7,8
0.59,6,0.9986,3.04,9.4,5
0.6,7,0.9986,3.04,9.4,5
0.68,6,0.997,3.06,13.4,6
0.39,6,0.9976,3.17,10,5
0.39,6,0.9976,3.17,10,5
0.36,5,0.9982,3.17,10,6
0.55,35,1.0002,3.32,10.8,7
0.4,10,0.9984,3.34,10.2,6
0.27,24,0.9984,3.31,10.6,6
0.5,12,0.9952,3.34,13.3,7
0.51,13,0.995,3.32,13.4,7
0.31,23,1.0002,3.48,11.6,6
0.23,28,0.9952,3.44,12.1,6
0.53,5,0.9972,3.15,11,8
0.25,14,0.9984,3.43,9,6
0.32,43,0.9966,3.32,11.1,5
0.53,5,0.9972,3.15,11,8
0.31,23,1.0002,3.48,11.6,6
0.25,14,0.9984,3.43,9,6
0.73,38,0.999,3.17,12,7
0.73,38,0.999,3.17,12,7
0.47,6,0.9976,3.18,10.9,7
0.42,6,0.9976,3.21,10.8,7
0.63,10,0.9968,3.16,12.5,7
0.46,6,0.9976,3.25,10.8,7
0.55,6,1,3.17,9.5,6
0.31,26,0.9994,3.18,10.2,6
0.75,23,0.9986,3.04,11.4,7
0.49,19,0.9978,3.02,9.5,5
0.31,26,0.9994,3.18,10.2,6
0.48,15,0.998,3.03,9.7,6
0.64,6,0.9973,3.09,11.8,7
0.64,6,0.9973,3.09,11.8,7
0.49,34,1.001,3.31,9.3,5
0.49,5,1.001,3.25,11.9,6
0.49,5,0.9994,3.16,8.4,3
0.49,11,0.9972,3.22,11.7,6
0.49,39,0.9966,3.36,11,5
0.49,15,0.9982,3.42,10,6
0.49,16,0.998,3.48,9.1,5
0.49,47,0.9979,3.38,9.8,5
0.49,38,0.9978,3.22,9.4,5
0.49,23,0.9976,3.23,9.5,5
0.24,29,0.9998,3.24,9.9,5
0.49,39,0.9966,3.36,11,5
0.49,33,0.9962,3.39,11.4,6
0.49,32,0.9988,3.34,8.7,6
0.24,6,0.9974,3.09,9.4,5
0.24,1,0.999,3.41,10.3,6
0.49,12,1.0004,3.16,10.3,5
0.49,12,1.0004,3.16,10.3,5
0.24,15,0.9956,3.22,12.8,6
0.24,13,1,3.28,10,6
0.24,1,0.999,3.41,10.3,6
0.24,6,0.9974,3.09,9.4,5
0.24,5,0.9972,3.37,10.7,6
0.49,5,1.0014,3.2,12,7
0.74,5,0.9996,3.22,11.2,5
0.24,20,0.9988,3.26,9.6,5
0.49,5,0.9988,3.21,11,6
0.24,5,0.9966,3.12,9.9,5
0.24,16,0.9993,3.06,11,6
0.74,6,1.0008,2.86,8.4,6
0.49,38,0.9982,3.08,9.1,5
0.24,10,0.9983,3.45,9.5,6
0.49,6,0.9987,3.26,10.7,6
0.49,27,0.9994,3.12,10.4,6
0.49,6,0.9975,3.27,9.4,6
0.01,9,0.9958,3.33,9.5,6
0.24,14,0.998,3.19,10,6
0.24,14,0.998,3.12,10,6
0.24,32,0.9934,3.74,11.5,5
0.49,10,1.00315,2.92,11.1,5
0.49,10,1.00315,2.92,11.1,5
0.49,10,1.0002,3.07,11.7,6
0.49,10,1.00315,2.92,11.1,5
0.49,10,1.0002,3.07,11.7,6
0.49,6,1.0021,3.3,12.7,6
0.49,5,0.9994,3.14,11.4,5
0.49,26,0.9978,3.23,9.2,5
0.49,41,0.9982,3.08,9.2,5
0.49,25,0.9971,3.31,10.1,6
0.49,6,1.0021,3.3,12.7,6
0.49,5,0.9994,3.14,11.4,5
0.24,5,0.9991,3.32,9,6
0.24,5,0.9991,3.32,9,6
0.49,5,0.999,3.31,10.7,6
0.24,19,0.9946,3.57,11.7,6
0.49,10,1.0003,3.32,11,6
0.24,19,0.9946,3.57,11.7,6
0.49,10,0.9978,3.14,10.4,5
0.49,14,0.9991,3.3,9.6,4
0.49,20,0.9992,3.19,10,6
0.49,28,0.9993,3.2,10.2,6
0.24,6,0.9978,3.34,10,4
0.49,18,0.9982,3.3,9.5,5
0.49,17,0.9982,3.29,9.8,5
0.49,18,0.9976,3.14,9.8,6
0.49,5,1.0002,3.19,9.6,5
0.49,5,1.0002,3.19,9.6,5
0.49,5,1,3.19,9.2,5
0.49,10,0.9976,2.98,9.9,7
0.49,54,1.0002,3.3,10.7,7
0.24,8,0.998,3.47,9.6,6
0.49,16,0.9986,3.12,10.6,7
0.24,18,0.9967,3.26,9.3,5
0.24,19,0.9917,3.72,14,8
0.49,5,0.9976,3.05,10.5,7
0.49,21,0.9987,3.35,9.7,5
0.49,23,0.9922,3.12,11.5,6
0.49,21,0.9987,3.35,9.7,5
0.58,9,1.0004,3.29,9,5
0.17,20,0.9978,3.4,9.5,5
0.41,30,0.9998,3.27,9.3,5
0.51,6,0.9994,3.04,9.3,6
0.58,5,0.998,3.09,10,6
0.18,5,0.9967,3.2,9.8,6
0.45,11,1,3,9.3,6
0.27,7,0.9962,3.26,10,4
0.52,12,1.0006,3.1,9,6
0,6,0.9975,3.3,9.3,5
0.52,12,1.0006,3.1,9,6
0.13,14,0.9984,3.17,9.1,6
0.13,6,0.9984,3.31,9.2,6
0.48,10,0.9973,3.34,12.2,7
0.41,26,0.9982,3.31,10.5,6
0.37,11,1.0026,3.32,10.4,6
0.19,15,0.9956,3.56,12.7,6
0.54,25,0.9983,3.39,9.2,5
0.55,5,1.0006,2.98,9.4,5
0,18,0.9965,3.32,10,6
0.38,10,0.9962,3.26,9.8,5
0.18,10,0.9969,2.87,10.2,6
0.5,28,0.9997,3.5,9.7,5
0.5,28,0.9997,3.5,9.7,5
0.51,14,0.9982,3.03,9.8,6
0.5,4,1.0006,3.13,10.2,5
0.41,6,0.9988,3.09,9.3,5
0.24,16,0.9976,3.27,9.4,5
0.23,14,0.9976,3.28,9.4,5
0.22,9,0.9974,3.13,9.5,5
0.25,21,0.9974,3.49,12.1,6
0,21,0.9997,3.46,10.2,5
0,21,0.9997,3.46,10.2,5
0.29,5,0.9988,3.36,9.1,5
0.29,5,0.9988,3.36,9.1,5
0.26,7,0.9976,3.27,9.3,6
0.23,20,0.9964,3.21,9.3,5
0.26,7,0.9976,3.27,9.3,6
0.54,5,0.9988,3.25,9.5,5
0.14,21,0.9964,3.32,10.5,6
0.22,11,1.001,3.43,11.3,4
0.21,46,0.9964,3.27,9.5,5
0,24,0.9954,3.27,9.7,5
0.28,30,0.9979,3.24,9.4,5
0.27,31,0.9978,3.24,9.4,5
0.12,7,0.9964,3.35,10.2,7
0.35,25,0.997,3.18,10.3,6
0.45,16,0.9991,3.39,9.4,5
0.44,21,0.9992,3.46,9.5,5
0.45,16,0.9991,3.39,9.4,5
0.44,21,0.9992,3.46,9.5,5
0.45,16,0.9991,3.39,9.4,5
0.1,5,0.9984,3.37,10.1,7
0.05,6,0.9972,3.4,10.1,5
0.01,5,0.9967,3.32,11,4
0.3,10,0.9964,3.33,11.2,7
0.27,24,0.9948,3.16,11.3,6
0.39,8,0.9986,2.89,9.6,5
0.25,35,1.001,3.41,11.2,5
0.65,22,0.9976,2.98,14.9,5
0.59,9,0.9976,3.12,12,6
0.47,7,0.9979,3.08,9.5,5
0.17,20,1.0004,3.14,9.4,5
0.39,8,0.9986,2.89,9.6,5
0.59,23,0.998,2.92,10.5,7
0.07,5,0.9973,3.32,9.6,6
0.02,5,0.997,3.41,11,4
0.07,5,0.9973,3.32,9.6,6
0.31,15,0.9978,3.31,9,5
0.06,9,0.9972,3.36,9.6,6
0.46,5,0.9974,3.04,10.2,6
0.52,15,1,3.03,10.2,5
0.14,25,0.9981,3.14,9.7,5
0.36,6,0.998,3.18,9.5,6
0.45,6,0.9988,2.94,9.2,6
0.43,15,0.9966,3.15,11,5
0.45,6,0.9988,2.94,9.2,6
0.24,30,0.9959,3.26,10,5
0.21,5,0.9968,3.2,9.5,5
0.34,32,0.998,3.15,9.5,5
0.21,5,0.9968,3.2,9.5,5
0.41,7,0.9984,3.08,9.3,6
0.39,12,0.9984,3.26,10.2,5
0.41,7,0.9984,3.08,9.3,6
0.11,12,0.9979,3.4,9.9,5
0.1,45,0.9983,3.48,10,5
0.45,20,0.9972,3.13,9.6,5
0.58,15,1.0004,3.06,9,5
